	sector	community_name	group_category	category	count	resident_count	date	year
454	CENTRE	UPPER MOUNT ROYAL	Crime	Commercial Break & Enter	1	2478	2019-11-01T00:00:00.000	2019
455	SOUTHEAST	MCKENZIE LAKE	Crime	Residential Break & Enter	6	13406	2019-11-01T00:00:00.000	2019
456	NORTHEAST	SADDLE RIDGE	Disorder	Social Disorder	48	22321	2019-11-01T00:00:00.000	2019
457	EAST	ERIN WOODS	Crime	Theft OF Vehicle	5	7049	2019-11-01T00:00:00.000	2019
458	SOUTHEAST	12A	Crime	Commercial Break & Enter	2	0	2019-11-01T00:00:00.000	2019
459	EAST	SOUTHVIEW	Crime	Street Robbery	1	1805	2019-11-01T00:00:00.000	2019
460	NORTH	CARRINGTON	Disorder	Physical Disorder	1	572	2019-11-01T00:00:00.000	2019
461	SOUTHEAST	SECTION 23	Disorder	Social Disorder	1	0	2019-11-01T00:00:00.000	2019
462	NORTHWEST	EDGEMONT	Crime	Theft FROM Vehicle	6	15395	2019-11-01T00:00:00.000	2019
463	EAST	APPLEWOOD PARK	Disorder	Physical Disorder	1	6981	2019-11-01T00:00:00.000	2019
464	NORTHEAST	STONEY 2	Crime	Assault (Non-domestic)	1	0	2019-11-01T00:00:00.000	2019
465	CENTRE	DOWNTOWN EAST VILLAGE	Crime	Commercial Break & Enter	5	3893	2019-11-01T00:00:00.000	2019
466	NORTHEAST	CALGARY INTERNATIONAL AIRPORT	Crime	Violence Other (Non-domestic)	1	0	2019-11-01T00:00:00.000	2019
467	NORTH	HUNTINGTON HILLS	Crime	Violence Other (Non-domestic)	2	13420	2019-11-01T00:00:00.000	2019
468	NORTHWEST	BRENTWOOD	Crime	Theft OF Vehicle	3	7267	2019-11-01T00:00:00.000	2019
469	EAST	PENBROOKE MEADOWS	Crime	Theft FROM Vehicle	6	8554	2019-11-01T00:00:00.000	2019
470	CENTRE	KILLARNEY/GLENGARRY	Disorder	Social Disorder	59	7685	2019-11-01T00:00:00.000	2019
471	CENTRE	MOUNT PLEASANT	Crime	Commercial Break & Enter	2	5889	2019-11-01T00:00:00.000	2019
472	SOUTH	FAIRVIEW INDUSTRIAL	Crime	Commercial Break & Enter	2	0	2019-11-01T00:00:00.000	2019
473	WEST	SPRUCE CLIFF	Crime	Theft OF Vehicle	2	4673	2019-11-01T00:00:00.000	2019
474	SOUTH	GLENDEER BUSINESS PARK	Disorder	Physical Disorder	1	0	2019-11-01T00:00:00.000	2019
475	NORTH	SANDSTONE VALLEY	Disorder	Physical Disorder	1	5904	2019-11-01T00:00:00.000	2019
476	CENTRE	PARKHILL	Crime	Theft OF Vehicle	1	1691	2019-11-01T00:00:00.000	2019
477	CENTRE	BELTLINE	Crime	Commercial Robbery	4	25129	2019-11-01T00:00:00.000	2019
478	WEST	DISCOVERY RIDGE	Crime	Violence Other (Non-domestic)	1	4280	2019-11-01T00:00:00.000	2019
479	NORTHEAST	FRANKLIN	Crime	Commercial Break & Enter	1	0	2019-11-01T00:00:00.000	2019
480	SOUTHEAST	COPPERFIELD	Crime	Theft FROM Vehicle	5	13823	2019-11-01T00:00:00.000	2019
481	SOUTH	PUMP HILL	Crime	Theft FROM Vehicle	1	1640	2019-11-01T00:00:00.000	2019
482	CENTRE	SUNALTA	Crime	Theft FROM Vehicle	14	3239	2019-11-01T00:00:00.000	2019
483	SOUTH	SHAWNESSY	Disorder	Social Disorder	74	9368	2019-11-01T00:00:00.000	2019
484	CENTRE	SOUTH CALGARY	Crime	Residential Break & Enter	2	4442	2019-11-01T00:00:00.000	2019
485	WEST	GLENBROOK	Crime	Residential Break & Enter	2	7442	2019-11-01T00:00:00.000	2019
486	NORTHWEST	BOWNESS	Disorder	Social Disorder	97	11150	2019-11-01T00:00:00.000	2019
487	WEST	CHRISTIE PARK	Crime	Theft FROM Vehicle	2	2128	2019-11-01T00:00:00.000	2019
488	EAST	DOVER	Disorder	Physical Disorder	6	10351	2019-11-01T00:00:00.000	2019
489	SOUTH	WILLOW PARK	Crime	Residential Break & Enter	2	5328	2019-11-01T00:00:00.000	2019
490	NORTHWEST	ROCKY RIDGE	Crime	Residential Break & Enter	1	8398	2019-11-01T00:00:00.000	2019
491	NORTH	AURORA BUSINESS PARK	Disorder	Physical Disorder	1	0	2019-11-01T00:00:00.000	2019
492	CENTRE	HIGHFIELD	Disorder	Social Disorder	10	0	2019-11-01T00:00:00.000	2019
493	SOUTH	MIDNAPORE	Crime	Violence Other (Non-domestic)	1	7270	2019-11-01T00:00:00.000	2019
494	NORTHEAST	TARADALE	Crime	Assault (Non-domestic)	4	19026	2019-11-01T00:00:00.000	2019
495	NORTHEAST	CASTLERIDGE	Disorder	Physical Disorder	3	6127	2019-11-01T00:00:00.000	2019
496	SOUTH	HAYSBORO	Crime	Assault (Non-domestic)	4	7080	2019-11-01T00:00:00.000	2019
497	CENTRE	MANCHESTER INDUSTRIAL	Disorder	Physical Disorder	7	0	2019-11-01T00:00:00.000	2019
498	EAST	RED CARPET	Crime	Commercial Break & Enter	1	1594	2019-11-01T00:00:00.000	2019
499	NORTHEAST	MARLBOROUGH PARK	Crime	Commercial Robbery	1	8523	2019-11-01T00:00:00.000	2019
500	NORTHEAST	SOUTH AIRWAYS	Crime	Commercial Break & Enter	6	0	2019-11-01T00:00:00.000	2019
501	NORTHEAST	FRANKLIN	Crime	Theft OF Vehicle	1	0	2019-11-01T00:00:00.000	2019
502	SOUTH	LEGACY	Crime	Theft FROM Vehicle	2	6420	2019-11-01T00:00:00.000	2019
503	NORTH	HARVEST HILLS	Disorder	Physical Disorder	3	7420	2019-11-01T00:00:00.000	2019
504	WEST	LAKEVIEW	Crime	Theft FROM Vehicle	1	5355	2019-11-01T00:00:00.000	2019
505	WEST	GLENBROOK	Disorder	Social Disorder	21	7442	2019-11-01T00:00:00.000	2019
506	CENTRE	TUXEDO PARK	Crime	Theft FROM Vehicle	8	5326	2019-11-01T00:00:00.000	2019
507	CENTRE	SHAGANAPPI	Crime	Residential Break & Enter	1	1626	2019-11-01T00:00:00.000	2019
508	NORTHWEST	TUSCANY	Disorder	Social Disorder	18	19884	2019-11-01T00:00:00.000	2019
509	NORTH	HUNTINGTON HILLS	Disorder	Social Disorder	53	13420	2019-11-01T00:00:00.000	2019
510	CENTRE	MANCHESTER	Disorder	Social Disorder	19	1025	2019-11-01T00:00:00.000	2019
511	WEST	SIGNAL HILL	Crime	Assault (Non-domestic)	1	13395	2019-11-01T00:00:00.000	2019
512	NORTHEAST	SADDLE RIDGE INDUSTRIAL	Crime	Commercial Break & Enter	3	25	2019-11-01T00:00:00.000	2019
513	WEST	STRATHCONA PARK	Crime	Theft OF Vehicle	1	6855	2019-11-01T00:00:00.000	2019
514	NORTH	HIDDEN VALLEY	Disorder	Social Disorder	13	11566	2019-11-01T00:00:00.000	2019
515	CENTRE	CHINATOWN	Disorder	Physical Disorder	2	2471	2019-11-01T00:00:00.000	2019
516	NORTHEAST	MARTINDALE	Crime	Violence Other (Non-domestic)	2	14245	2019-11-01T00:00:00.000	2019
517	SOUTH	BAYVIEW	Crime	Commercial Break & Enter	1	751	2019-11-01T00:00:00.000	2019
518	SOUTH	KINGSLAND	Crime	Commercial Break & Enter	2	4688	2019-11-01T00:00:00.000	2019
519	SOUTH	PALLISER	Disorder	Physical Disorder	3	3672	2019-11-01T00:00:00.000	2019
520	CENTRE	ELBOW PARK	Crime	Theft OF Vehicle	1	3342	2019-11-01T00:00:00.000	2019
521	WEST	SPRUCE CLIFF	Crime	Residential Break & Enter	2	4673	2019-11-01T00:00:00.000	2019
522	WEST	LINCOLN PARK	Crime	Residential Break & Enter	1	2617	2019-11-01T00:00:00.000	2019
523	WEST	WEST SPRINGS	Crime	Commercial Break & Enter	1	10758	2019-11-01T00:00:00.000	2019
524	CENTRE	SCARBORO/ SUNALTA WEST	Disorder	Social Disorder	3	401	2019-11-01T00:00:00.000	2019
525	SOUTH	SOUTHWOOD	Crime	Commercial Robbery	2	6246	2019-11-01T00:00:00.000	2019
526	NORTH	SAGE HILL	Disorder	Physical Disorder	2	7924	2019-11-01T00:00:00.000	2019
527	NORTHEAST	MARTINDALE	Disorder	Physical Disorder	3	14245	2019-11-01T00:00:00.000	2019
528	CENTRE	GREENVIEW	Crime	Commercial Break & Enter	1	1906	2019-11-01T00:00:00.000	2019
529	WEST	STRATHCONA PARK	Crime	Commercial Break & Enter	1	6855	2019-11-01T00:00:00.000	2019
530	NORTHEAST	VISTA HEIGHTS	Crime	Theft OF Vehicle	3	2370	2019-11-01T00:00:00.000	2019
531	CENTRE	WINDSOR PARK	Crime	Commercial Break & Enter	2	4584	2019-11-01T00:00:00.000	2019
532	CENTRE	MEADOWLARK PARK	Crime	Commercial Robbery	1	644	2019-11-01T00:00:00.000	2019
533	WEST	WEST SPRINGS	Disorder	Social Disorder	16	10758	2019-11-01T00:00:00.000	2019
534	WEST	VALLEY RIDGE	Disorder	Social Disorder	8	5585	2019-11-01T00:00:00.000	2019
535	NORTHEAST	STONEGATE LANDING	Disorder	Physical Disorder	1	0	2019-11-01T00:00:00.000	2019
536	CENTRE	LOWER MOUNT ROYAL	Crime	Commercial Break & Enter	5	3457	2019-11-01T00:00:00.000	2019
537	NORTHEAST	TEMPLE	Disorder	Social Disorder	58	10977	2019-11-01T00:00:00.000	2019
538	NORTH	SKYLINE WEST	Disorder	Physical Disorder	2	0	2019-11-01T00:00:00.000	2019
539	NORTHWEST	SILVER SPRINGS	Crime	Theft OF Vehicle	1	8679	2019-11-01T00:00:00.000	2019
540	EAST	FOREST HEIGHTS	Crime	Violence Other (Non-domestic)	1	6496	2019-11-01T00:00:00.000	2019
541	NORTHEAST	SADDLE RIDGE	Crime	Violence Other (Non-domestic)	1	22321	2019-11-01T00:00:00.000	2019
542	SOUTH	CANYON MEADOWS	Crime	Assault (Non-domestic)	1	7624	2019-11-01T00:00:00.000	2019
543	CENTRE	RENFREW	Crime	Commercial Break & Enter	7	6582	2019-11-01T00:00:00.000	2019
544	NORTHEAST	MCCALL	Disorder	Physical Disorder	2	0	2019-11-01T00:00:00.000	2019
545	SOUTHEAST	12B	Disorder	Physical Disorder	1	0	2019-11-01T00:00:00.000	2019
546	SOUTH	BRAESIDE	Crime	Commercial Break & Enter	1	5805	2019-11-01T00:00:00.000	2019
547	NORTHWEST	SCENIC ACRES	Disorder	Social Disorder	6	8067	2019-11-01T00:00:00.000	2019
548	CENTRE	HILLHURST	Disorder	Physical Disorder	4	6558	2019-11-01T00:00:00.000	2019
549	NORTHEAST	VISTA HEIGHTS	Crime	Residential Break & Enter	2	2370	2019-11-01T00:00:00.000	2019
550	CENTRE	ALTADORE	Crime	Commercial Break & Enter	4	6942	2019-11-01T00:00:00.000	2019
551	NORTHWEST	MONTGOMERY	Crime	Theft FROM Vehicle	4	4515	2019-11-01T00:00:00.000	2019
552	SOUTH	EAST FAIRVIEW INDUSTRIAL	Crime	Commercial Break & Enter	2	0	2019-11-01T00:00:00.000	2019
553	SOUTH	GLENMORE PARK	Crime	Theft FROM Vehicle	2	0	2019-11-01T00:00:00.000	2019
554	SOUTH	KELVIN GROVE	Disorder	Social Disorder	18	2305	2019-11-01T00:00:00.000	2019
555	SOUTH	BRAESIDE	Crime	Theft OF Vehicle	1	5805	2019-11-01T00:00:00.000	2019
556	WEST	ASPEN WOODS	Crime	Theft FROM Vehicle	4	9446	2019-11-01T00:00:00.000	2019
557	SOUTH	BRAESIDE	Crime	Assault (Non-domestic)	1	5805	2019-11-01T00:00:00.000	2019
558	EAST	DOVER	Crime	Theft OF Vehicle	8	10351	2019-11-01T00:00:00.000	2019
559	CENTRE	CLIFF BUNGALOW	Disorder	Physical Disorder	3	1895	2019-11-01T00:00:00.000	2019
560	SOUTH	WOODLANDS	Crime	Theft FROM Vehicle	1	6002	2019-11-01T00:00:00.000	2019
561	NORTH	BEDDINGTON HEIGHTS	Crime	Violence Other (Non-domestic)	4	11514	2019-11-01T00:00:00.000	2019
562	WEST	COACH HILL	Crime	Theft FROM Vehicle	1	3244	2019-11-01T00:00:00.000	2019
563	NORTH	THORNCLIFFE	Crime	Theft OF Vehicle	5	8788	2019-11-01T00:00:00.000	2019
564	SOUTHEAST	NEW BRIGHTON	Crime	Commercial Break & Enter	1	13103	2019-11-01T00:00:00.000	2019
565	NORTHWEST	02E	Crime	Assault (Non-domestic)	5	0	2019-11-01T00:00:00.000	2019
566	CENTRE	SOUTH CALGARY	Crime	Violence Other (Non-domestic)	1	4442	2019-11-01T00:00:00.000	2019
567	CENTRE	ROSEMONT	Disorder	Physical Disorder	1	1254	2019-11-01T00:00:00.000	2019
568	NORTHWEST	VARSITY	Crime	Street Robbery	1	12874	2019-11-01T00:00:00.000	2019
569	WEST	COUGAR RIDGE	Crime	Theft FROM Vehicle	1	6997	2019-11-01T00:00:00.000	2019
570	SOUTH	LAKE BONAVISTA	Disorder	Social Disorder	26	10293	2019-11-01T00:00:00.000	2019
571	CENTRE	DOWNTOWN EAST VILLAGE	Crime	Theft FROM Vehicle	9	3893	2019-11-01T00:00:00.000	2019
572	NORTHEAST	NORTH AIRWAYS	Disorder	Physical Disorder	2	0	2019-11-01T00:00:00.000	2019
573	SOUTH	CHAPARRAL	Crime	Residential Break & Enter	2	12654	2019-11-01T00:00:00.000	2019
574	EAST	GREAT PLAINS	Disorder	Social Disorder	12	0	2019-11-01T00:00:00.000	2019
575	NORTHWEST	DALHOUSIE	Crime	Street Robbery	1	8940	2019-11-01T00:00:00.000	2019
576	CENTRE	RICHMOND	Crime	Theft FROM Vehicle	6	4962	2019-11-01T00:00:00.000	2019
577	SOUTH	HAYSBORO	Disorder	Social Disorder	60	7080	2019-11-01T00:00:00.000	2019
578	CENTRE	LOWER MOUNT ROYAL	Crime	Theft FROM Vehicle	11	3457	2019-11-01T00:00:00.000	2019
579	CENTRE	MISSION	Crime	Theft OF Vehicle	3	4598	2019-11-01T00:00:00.000	2019
580	SOUTH	SILVERADO	Crime	Residential Break & Enter	1	7655	2019-11-01T00:00:00.000	2019
581	CENTRE	SUNNYSIDE	Disorder	Physical Disorder	1	4230	2019-11-01T00:00:00.000	2019
582	NORTHEAST	WHITEHORN	Crime	Violence Other (Non-domestic)	2	12019	2019-11-01T00:00:00.000	2019
583	EAST	ERIN WOODS	Crime	Commercial Robbery	1	7049	2019-11-01T00:00:00.000	2019
584	SOUTHEAST	SHEPARD INDUSTRIAL	Crime	Theft FROM Vehicle	4	255	2019-11-01T00:00:00.000	2019
585	CENTRE	HIGHLAND PARK	Disorder	Physical Disorder	2	3838	2019-11-01T00:00:00.000	2019
586	SOUTH	SOMERSET	Crime	Commercial Break & Enter	1	8543	2019-11-01T00:00:00.000	2019
587	NORTHEAST	TARADALE	Crime	Violence Other (Non-domestic)	1	19026	2019-11-01T00:00:00.000	2019
588	CENTRE	MANCHESTER	Crime	Assault (Non-domestic)	1	1025	2019-11-01T00:00:00.000	2019
589	SOUTH	SHAWNESSY	Disorder	Physical Disorder	8	9368	2019-11-01T00:00:00.000	2019
590	SOUTH	SUNDANCE	Crime	Theft OF Vehicle	1	9736	2019-11-01T00:00:00.000	2019
591	NORTH	HARVEST HILLS	Crime	Theft OF Vehicle	1	7420	2019-11-01T00:00:00.000	2019
592	NORTHWEST	ROYAL OAK	Crime	Theft FROM Vehicle	2	11706	2019-11-01T00:00:00.000	2019
593	NORTHEAST	TARADALE	Crime	Theft FROM Vehicle	6	19026	2019-11-01T00:00:00.000	2019
594	NORTHWEST	MONTGOMERY	Crime	Assault (Non-domestic)	1	4515	2019-11-01T00:00:00.000	2019
595	SOUTHEAST	NEW BRIGHTON	Disorder	Physical Disorder	2	13103	2019-11-01T00:00:00.000	2019
596	NORTH	HUNTINGTON HILLS	Crime	Commercial Break & Enter	5	13420	2019-11-01T00:00:00.000	2019
597	SOUTHEAST	MAHOGANY	Crime	Commercial Break & Enter	1	11784	2019-11-01T00:00:00.000	2019
598	NORTHEAST	MAYLAND	Disorder	Physical Disorder	1	0	2019-11-01T00:00:00.000	2019
599	SOUTH	QUEENSLAND	Crime	Theft FROM Vehicle	4	4743	2019-11-01T00:00:00.000	2019
600	SOUTHEAST	RIVERBEND	Disorder	Physical Disorder	8	9244	2019-11-01T00:00:00.000	2019
601	NORTHEAST	REDSTONE	Crime	Commercial Break & Enter	1	5848	2019-11-01T00:00:00.000	2019
602	NORTHEAST	WESTWINDS	Crime	Theft OF Vehicle	3	0	2019-11-01T00:00:00.000	2019
603	CENTRE	CRESCENT HEIGHTS	Crime	Theft OF Vehicle	3	6620	2019-11-01T00:00:00.000	2019
604	NORTH	STONEY 1	Disorder	Physical Disorder	1	0	2019-11-01T00:00:00.000	2019
605	NORTH	EVANSTON	Crime	Theft FROM Vehicle	7	17685	2019-11-01T00:00:00.000	2019
606	NORTHEAST	RUNDLE	Crime	Violence Other (Non-domestic)	2	11688	2019-11-01T00:00:00.000	2019
607	SOUTH	MIDNAPORE	Disorder	Social Disorder	31	7270	2019-11-01T00:00:00.000	2019
608	SOUTH	WALDEN	Crime	Residential Break & Enter	1	6228	2019-11-01T00:00:00.000	2019
609	NORTH	KINCORA	Crime	Theft FROM Vehicle	2	6889	2019-11-01T00:00:00.000	2019
610	SOUTH	FAIRVIEW INDUSTRIAL	Crime	Violence Other (Non-domestic)	1	0	2019-11-01T00:00:00.000	2019
611	CENTRE	GREENVIEW INDUSTRIAL PARK	Disorder	Social Disorder	6	225	2019-11-01T00:00:00.000	2019
612	NORTHEAST	STONEY 3	Disorder	Social Disorder	1	0	2019-11-01T00:00:00.000	2019
613	SOUTH	FAIRVIEW	Crime	Theft OF Vehicle	1	3646	2019-11-01T00:00:00.000	2019
614	SOUTH	SOUTHWOOD	Crime	Theft FROM Vehicle	5	6246	2019-11-01T00:00:00.000	2019
615	NORTHWEST	UNIVERSITY HEIGHTS	Disorder	Social Disorder	15	2921	2019-11-01T00:00:00.000	2019
616	SOUTH	OAKRIDGE	Crime	Theft FROM Vehicle	4	5690	2019-11-01T00:00:00.000	2019
617	NORTHEAST	CALGARY INTERNATIONAL AIRPORT	Disorder	Social Disorder	12	0	2019-11-01T00:00:00.000	2019
618	EAST	ALBERT PARK/RADISSON HEIGHTS	Crime	Commercial Break & Enter	2	6997	2019-11-01T00:00:00.000	2019
619	EAST	ALBERT PARK/RADISSON HEIGHTS	Disorder	Physical Disorder	7	6997	2019-11-01T00:00:00.000	2019
620	NORTHEAST	WESTWINDS	Crime	Commercial Break & Enter	1	0	2019-11-01T00:00:00.000	2019
621	CENTRE	BRIDGELAND/RIVERSIDE	Crime	Street Robbery	3	6835	2019-11-01T00:00:00.000	2019
622	WEST	COUGAR RIDGE	Disorder	Physical Disorder	3	6997	2019-11-01T00:00:00.000	2019
623	CENTRE	ALTADORE	Crime	Theft OF Vehicle	3	6942	2019-11-01T00:00:00.000	2019
624	CENTRE	PARKHILL	Crime	Theft FROM Vehicle	4	1691	2019-11-01T00:00:00.000	2019
625	CENTRE	BURNS INDUSTRIAL	Crime	Theft FROM Vehicle	4	0	2019-11-01T00:00:00.000	2019
626	NORTHEAST	MERIDIAN	Disorder	Social Disorder	11	0	2019-11-01T00:00:00.000	2019
627	NORTH	COVENTRY HILLS	Crime	Assault (Non-domestic)	1	17667	2019-11-01T00:00:00.000	2019
628	NORTHWEST	ARBOUR LAKE	Crime	Residential Break & Enter	3	10619	2019-11-01T00:00:00.000	2019
629	CENTRE	WINDSOR PARK	Crime	Theft FROM Vehicle	8	4584	2019-11-01T00:00:00.000	2019
630	CENTRE	HILLHURST	Crime	Theft OF Vehicle	3	6558	2019-11-01T00:00:00.000	2019
631	SOUTH	CANYON MEADOWS	Crime	Theft OF Vehicle	3	7624	2019-11-01T00:00:00.000	2019
632	NORTHEAST	MARLBOROUGH PARK	Disorder	Social Disorder	41	8523	2019-11-01T00:00:00.000	2019
633	CENTRE	CRESCENT HEIGHTS	Disorder	Social Disorder	59	6620	2019-11-01T00:00:00.000	2019
634	SOUTH	13B	Disorder	Physical Disorder	1	0	2019-11-01T00:00:00.000	2019
635	EAST	FOOTHILLS	Crime	Assault (Non-domestic)	1	317	2019-11-01T00:00:00.000	2019
636	CENTRE	BRIDGELAND/RIVERSIDE	Crime	Theft FROM Vehicle	19	6835	2019-11-01T00:00:00.000	2019
637	SOUTHEAST	EAST SHEPARD INDUSTRIAL	Crime	Commercial Break & Enter	5	0	2019-11-01T00:00:00.000	2019
638	SOUTHEAST	MCKENZIE TOWNE	Crime	Theft FROM Vehicle	7	18283	2019-11-01T00:00:00.000	2019
639	CENTRE	INGLEWOOD	Crime	Violence Other (Non-domestic)	2	4024	2019-11-01T00:00:00.000	2019
640	CENTRE	HOUNSFIELD HEIGHTS/BRIAR HILL	Crime	Theft FROM Vehicle	4	2798	2019-11-01T00:00:00.000	2019
641	WEST	STRATHCONA PARK	Crime	Theft FROM Vehicle	9	6855	2019-11-01T00:00:00.000	2019
642	SOUTH	OAKRIDGE	Crime	Commercial Break & Enter	1	5690	2019-11-01T00:00:00.000	2019
643	CENTRE	HIGHWOOD	Crime	Assault (Non-domestic)	1	2258	2019-11-01T00:00:00.000	2019
644	EAST	RED CARPET	Crime	Theft OF Vehicle	1	1594	2019-11-01T00:00:00.000	2019
645	NORTHEAST	SADDLE RIDGE INDUSTRIAL	Crime	Theft OF Vehicle	1	25	2019-11-01T00:00:00.000	2019
646	SOUTH	CANYON MEADOWS	Crime	Residential Break & Enter	2	7624	2019-11-01T00:00:00.000	2019
647	SOUTH	FAIRVIEW INDUSTRIAL	Crime	Theft FROM Vehicle	9	0	2019-11-01T00:00:00.000	2019
648	SOUTHEAST	SETON	Crime	Assault (Non-domestic)	5	1134	2019-11-01T00:00:00.000	2019
649	NORTHEAST	MARLBOROUGH	Crime	Assault (Non-domestic)	4	9162	2019-11-01T00:00:00.000	2019
650	NORTHEAST	CASTLERIDGE	Crime	Assault (Non-domestic)	1	6127	2019-11-01T00:00:00.000	2019
651	EAST	ERIN WOODS	Crime	Theft FROM Vehicle	8	7049	2019-11-01T00:00:00.000	2019
652	SOUTHEAST	MCKENZIE TOWNE	Disorder	Social Disorder	39	18283	2019-11-01T00:00:00.000	2019
653	NORTHEAST	ABBEYDALE	Crime	Theft OF Vehicle	2	5957	2019-11-01T00:00:00.000	2019
654	CENTRE	ALTADORE	Crime	Theft FROM Vehicle	17	6942	2019-11-01T00:00:00.000	2019
655	NORTH	PANORAMA HILLS	Crime	Residential Break & Enter	3	25710	2019-11-01T00:00:00.000	2019
656	CENTRE	ST. ANDREWS HEIGHTS	Crime	Theft OF Vehicle	1	1795	2019-11-01T00:00:00.000	2019
657	NORTHEAST	MONTEREY PARK	Crime	Violence Other (Non-domestic)	1	10372	2019-11-01T00:00:00.000	2019
658	NORTH	COVENTRY HILLS	Crime	Violence Other (Non-domestic)	1	17667	2019-11-01T00:00:00.000	2019
659	CENTRE	MEADOWLARK PARK	Crime	Theft OF Vehicle	2	644	2019-11-01T00:00:00.000	2019
660	NORTHEAST	PINERIDGE	Disorder	Social Disorder	65	10022	2019-11-01T00:00:00.000	2019
661	EAST	OGDEN SHOPS	Crime	Commercial Break & Enter	1	0	2019-11-01T00:00:00.000	2019
662	NORTHEAST	HORIZON	Disorder	Social Disorder	69	0	2019-11-01T00:00:00.000	2019
663	NORTHEAST	MAYLAND HEIGHTS	Crime	Residential Break & Enter	2	5961	2019-11-01T00:00:00.000	2019
664	NORTHEAST	HORIZON	Crime	Theft OF Vehicle	2	0	2019-11-01T00:00:00.000	2019
665	SOUTHEAST	CRANSTON	Crime	Theft OF Vehicle	3	19884	2019-11-01T00:00:00.000	2019
666	NORTHEAST	RUNDLE	Crime	Assault (Non-domestic)	2	11688	2019-11-01T00:00:00.000	2019
667	EAST	APPLEWOOD PARK	Crime	Violence Other (Non-domestic)	1	6981	2019-11-01T00:00:00.000	2019
668	SOUTH	BONAVISTA DOWNS	Crime	Theft FROM Vehicle	2	928	2019-11-01T00:00:00.000	2019
669	CENTRE	ST. ANDREWS HEIGHTS	Crime	Theft FROM Vehicle	2	1795	2019-11-01T00:00:00.000	2019
670	NORTH	COVENTRY HILLS	Disorder	Physical Disorder	5	17667	2019-11-01T00:00:00.000	2019
671	SOUTH	CHAPARRAL	Disorder	Physical Disorder	1	12654	2019-11-01T00:00:00.000	2019
672	CENTRE	WEST HILLHURST	Crime	Assault (Non-domestic)	1	6447	2019-11-01T00:00:00.000	2019
673	NORTHWEST	UNIVERSITY OF CALGARY	Crime	Violence Other (Non-domestic)	2	2367	2019-11-01T00:00:00.000	2019
674	NORTH	HIDDEN VALLEY	Disorder	Physical Disorder	1	11566	2019-11-01T00:00:00.000	2019
675	NORTHEAST	CORAL SPRINGS	Disorder	Social Disorder	10	5801	2019-11-01T00:00:00.000	2019
676	SOUTH	ACADIA	Disorder	Social Disorder	116	10520	2019-11-01T00:00:00.000	2019
677	NORTH	EVANSTON	Crime	Theft OF Vehicle	2	17685	2019-11-01T00:00:00.000	2019
678	SOUTH	LEGACY	Disorder	Social Disorder	15	6420	2019-11-01T00:00:00.000	2019
679	WEST	ASPEN WOODS	Crime	Residential Break & Enter	2	9446	2019-11-01T00:00:00.000	2019
680	CENTRE	ELBOW PARK	Disorder	Social Disorder	2	3342	2019-11-01T00:00:00.000	2019
681	NORTHEAST	STONEY 2	Disorder	Physical Disorder	2	0	2019-11-01T00:00:00.000	2019
682	SOUTHEAST	12A	Crime	Theft OF Vehicle	1	0	2019-11-01T00:00:00.000	2019
683	EAST	FOOTHILLS	Crime	Commercial Break & Enter	2	317	2019-11-01T00:00:00.000	2019
684	CENTRE	ROSEDALE	Disorder	Physical Disorder	1	1560	2019-11-01T00:00:00.000	2019
685	CENTRE	EAU CLAIRE	Crime	Assault (Non-domestic)	2	2030	2019-11-01T00:00:00.000	2019
686	EAST	APPLEWOOD PARK	Crime	Residential Break & Enter	1	6981	2019-11-01T00:00:00.000	2019
687	CENTRE	HILLHURST	Crime	Theft FROM Vehicle	9	6558	2019-11-01T00:00:00.000	2019
688	NORTHWEST	DALHOUSIE	Crime	Theft OF Vehicle	5	8940	2019-11-01T00:00:00.000	2019
689	WEST	WESTGATE	Disorder	Social Disorder	9	3202	2019-11-01T00:00:00.000	2019
690	SOUTH	WOODBINE	Crime	Commercial Robbery	1	8866	2019-11-01T00:00:00.000	2019
691	CENTRE	KILLARNEY/GLENGARRY	Crime	Street Robbery	1	7685	2019-11-01T00:00:00.000	2019
692	CENTRE	MOUNT PLEASANT	Disorder	Social Disorder	36	5889	2019-11-01T00:00:00.000	2019
693	CENTRE	BRIDGELAND/RIVERSIDE	Crime	Commercial Break & Enter	3	6835	2019-11-01T00:00:00.000	2019
694	NORTHEAST	MAYLAND HEIGHTS	Crime	Street Robbery	1	5961	2019-11-01T00:00:00.000	2019
695	WEST	GLENDALE	Crime	Violence Other (Non-domestic)	1	2765	2019-11-01T00:00:00.000	2019
696	NORTHEAST	SKYLINE EAST	Crime	Theft FROM Vehicle	1	0	2019-11-01T00:00:00.000	2019
697	WEST	SPRINGBANK HILL	Crime	Commercial Break & Enter	1	9943	2019-11-01T00:00:00.000	2019
698	NORTHWEST	VARSITY	Crime	Residential Break & Enter	4	12874	2019-11-01T00:00:00.000	2019
699	CENTRE	ALYTH/BONNYBROOK	Disorder	Social Disorder	15	0	2019-11-01T00:00:00.000	2019
700	EAST	FOREST LAWN	Disorder	Social Disorder	150	7814	2019-11-01T00:00:00.000	2019
701	EAST	SOUTHVIEW	Crime	Assault (Non-domestic)	1	1805	2019-11-01T00:00:00.000	2019
702	SOUTHEAST	DOUGLASDALE/GLEN	Crime	Violence Other (Non-domestic)	1	12881	2019-11-01T00:00:00.000	2019
